,id,name,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,beds,price,number_of_reviews,review_scores_rating,geometry,restaurant,nightclub,suppermarket,park,trainstation,busstop,bicycle_rental,city_center,Wijkcode,Wijk,culture_to,public_gre,Safety_ind
91,752910050509942339,Luxury Canal Home,Centrum-West,52.37394,4.8836,Entire home,4,3.0,407.0,3,5.0,POINT (120705.51115174827 487459.7723095703),7.100405075862993,539.6823862195888,23.19649290134411,516.2355607930348,1212.3392598890316,19.133984085524787,73.75425424444298,612.0028654387224,AC,Grachtengordel-West,19.0,0.0,86.0
92,774240782189645913,Sweet and comfortable,Centrum-West,52.36977,4.88538,Entire rental unit,4,2.0,219.0,0,,POINT (120823.51164894097 486994.9648206917),73.70803677735253,381.091564876132,74.25037244165773,751.3295292840138,1069.485859890999,458.06833106735286,284.97519627612184,620.8177112267743,AC,Grachtengordel-West,19.0,0.0,86.0
93,50523,B & B de 9 Straatjes (city center),Centrum-West,52.36811,4.88262,Private room in bed and breakfast,2,1.0,127.0,363,4.87,POINT (120634.259468696 486811.5735324789),40.21280222958484,374.7694869098793,199.14838482272725,496.004591767,1009.4118400064611,280.28831547218704,447.8004585261391,883.3255233965825,AC,Grachtengordel-West,19.0,0.0,86.0
94,245927,Sonnenberg - Canal side & view - Private & Central,Centrum-West,52.36815,4.88604,Entire guest suite,4,3.0,439.0,161,4.84,POINT (120867.21366622872 486814.4078461925),68.84935005673049,286.6484322803883,260.02009958653804,661.0272300190369,900.6385953652843,436.8004154182601,377.0176746672438,718.0234283855244,AC,Grachtengordel-West,19.0,0.0,86.0
95,5133110,Keizer Canal View House in 9streets,Centrum-West,52.3687,4.88595,Private room in bed and breakfast,4,2.0,271.0,20,4.5,POINT (120861.50735527703 486875.6448392619),7.684515601693765,300.6839315702996,199.3744363451181,707.107337059099,959.6726246969738,426.3819684851402,331.31095985445376,674.8245221595433,AC,Grachtengordel-West,19.0,0.0,86.0
96,13256599,Sabine and Walter Euler apartment,Centrum-West,52.36861,4.88607,Entire rental unit,3,1.0,210.0,89,4.84,POINT (120869.61075681911 486865.574657695),20.43559948170692,290.5394583738668,211.3697692752781,703.5012162423502,947.3694246645528,420.50945741864285,334.03094105816734,677.0317226468393,AC,Grachtengordel-West,19.0,0.0,86.0
97,19771245,Loft Leidsegracht - Private studio + Roof terrace!,Centrum-West,52.36665,4.88254,Entire rental unit,2,1.0,196.0,234,4.78,POINT (120627.67979979204 486649.1676879421),38.94527819178506,215.1053762358776,237.47804285218947,393.3864411563219,884.7820766364072,247.434015515668,469.0084801859692,999.7945178721124,AC,Grachtengordel-West,19.0,0.0,86.0
98,23314984,Luxury canal studio at street level,Centrum-West,52.36866,4.8868,Private room in bed and breakfast,3,2.0,187.0,199,4.99,POINT (120919.36618756187 486870.7942722472),62.061304681920944,243.4790673776047,226.8078449457988,737.5848706218327,935.7884660140498,370.8565183463591,301.4817747540524,641.4827512835983,AC,Grachtengordel-West,19.0,0.0,86.0
99,30946085,Luxe Central Historic Monument On Water,Centrum-West,52.36847,4.8876,Entire rental unit,4,4.0,297.0,19,5.0,POINT (120973.70480154676 486849.27841834485),18.98907631704972,185.4352429620831,275.0643692753065,756.5420535011119,899.7535137788042,324.76607172272315,297.49655575454926,627.7492980436925,AC,Grachtengordel-West,19.0,0.0,86.0
100,34386174,"Romantic private studio | Canal, Centre, 9 streets",Centrum-West,52.36742,4.88462,Private room in rental unit,2,1.0,136.0,111,4.7,POINT (120769.93959872506 486733.85565676226),88.7247905856018,310.8539579654952,325.27307288392615,538.4094787194116,871.0789730739436,401.5174285827374,461.2015347652268,841.9293285366055,AC,Grachtengordel-West,19.0,0.0,86.0
